# Observer hardware vectors -- generated by gen_observer_hw_vectors.py
# from validation/observer_hw.py. Do not edit by hand.
#
# H <N> <oneshot> <cycles>
# C <rst> <start> <trigger> <valid> <state> <running> <column> <scheduled> <visit_valid> <done> <aborted>
# n1_sparse
H 1 0 5
C 0 0 1 1 1 1 11 0 0 0 0
C 0 0 0 1 1 1 12 1 1 0 0
C 0 0 0 1 1 1 12 0 0 0 0
C 0 0 1 1 1 1 12 0 0 0 0
C 0 0 0 1 1 1 13 1 1 0 0
C 0 0 0 1 1 1 13 0 0 0 0
C 0 0 1 1 1 1 13 0 0 0 0
C 0 0 0 1 1 1 14 1 1 0 0
C 0 0 0 1 1 1 14 0 0 0 0
C 0 0 1 1 1 1 14 0 0 0 0
C 0 0 0 1 1 1 15 1 1 0 0
C 0 0 0 1 1 1 15 0 0 0 0
C 0 0 1 1 1 1 15 0 0 0 0
C 0 0 0 1 1 1 16 1 1 1 0
C 0 0 0 1 1 1 16 0 0 0 0
C 0 0 1 1 1 1 16 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n64_sparse
H 64 0 194
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 2 1 1 0 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 1 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 3 1 1 0 0
C 0 0 0 1 1 1 3 0 0 0 0
C 0 0 1 1 1 1 3 0 0 0 0
C 0 0 0 1 1 1 4 1 1 0 0
C 0 0 0 1 1 1 4 0 0 0 0
C 0 0 1 1 1 1 4 0 0 0 0
C 0 0 0 1 1 1 5 1 1 0 0
C 0 0 0 1 1 1 5 0 0 0 0
C 0 0 1 1 1 1 5 0 0 0 0
C 0 0 0 1 1 1 6 1 1 0 0
C 0 0 0 1 1 1 6 0 0 0 0
C 0 0 1 1 1 1 6 0 0 0 0
C 0 0 0 1 1 1 7 1 1 0 0
C 0 0 0 1 1 1 7 0 0 0 0
C 0 0 1 1 1 1 7 0 0 0 0
C 0 0 0 1 1 1 8 1 1 0 0
C 0 0 0 1 1 1 8 0 0 0 0
C 0 0 1 1 1 1 8 0 0 0 0
C 0 0 0 1 1 1 9 1 1 0 0
C 0 0 0 1 1 1 9 0 0 0 0
C 0 0 1 1 1 1 9 0 0 0 0
C 0 0 0 1 1 1 10 1 1 0 0
C 0 0 0 1 1 1 10 0 0 0 0
C 0 0 1 1 1 1 10 0 0 0 0
C 0 0 0 1 1 1 11 1 1 0 0
C 0 0 0 1 1 1 11 0 0 0 0
C 0 0 1 1 1 1 11 0 0 0 0
C 0 0 0 1 1 1 12 1 1 0 0
C 0 0 0 1 1 1 12 0 0 0 0
C 0 0 1 1 1 1 12 0 0 0 0
C 0 0 0 1 1 1 13 1 1 0 0
C 0 0 0 1 1 1 13 0 0 0 0
C 0 0 1 1 1 1 13 0 0 0 0
C 0 0 0 1 1 1 14 1 1 0 0
C 0 0 0 1 1 1 14 0 0 0 0
C 0 0 1 1 1 1 14 0 0 0 0
C 0 0 0 1 1 1 15 1 1 0 0
C 0 0 0 1 1 1 15 0 0 0 0
C 0 0 1 1 1 1 15 0 0 0 0
C 0 0 0 1 1 1 16 1 1 0 0
C 0 0 0 1 1 1 16 0 0 0 0
C 0 0 1 1 1 1 16 0 0 0 0
C 0 0 0 1 1 1 17 1 1 0 0
C 0 0 0 1 1 1 17 0 0 0 0
C 0 0 1 1 1 1 17 0 0 0 0
C 0 0 0 1 1 1 18 1 1 0 0
C 0 0 0 1 1 1 18 0 0 0 0
C 0 0 1 1 1 1 18 0 0 0 0
C 0 0 0 1 1 1 19 1 1 0 0
C 0 0 0 1 1 1 19 0 0 0 0
C 0 0 1 1 1 1 19 0 0 0 0
C 0 0 0 1 1 1 20 1 1 0 0
C 0 0 0 1 1 1 20 0 0 0 0
C 0 0 1 1 1 1 20 0 0 0 0
C 0 0 0 1 1 1 21 1 1 0 0
C 0 0 0 1 1 1 21 0 0 0 0
C 0 0 1 1 1 1 21 0 0 0 0
C 0 0 0 1 1 1 22 1 1 0 0
C 0 0 0 1 1 1 22 0 0 0 0
C 0 0 1 1 1 1 22 0 0 0 0
C 0 0 0 1 1 1 23 1 1 0 0
C 0 0 0 1 1 1 23 0 0 0 0
C 0 0 1 1 1 1 23 0 0 0 0
C 0 0 0 1 1 1 24 1 1 0 0
C 0 0 0 1 1 1 24 0 0 0 0
C 0 0 1 1 1 1 24 0 0 0 0
C 0 0 0 1 1 1 25 1 1 0 0
C 0 0 0 1 1 1 25 0 0 0 0
C 0 0 1 1 1 1 25 0 0 0 0
C 0 0 0 1 1 1 26 1 1 0 0
C 0 0 0 1 1 1 26 0 0 0 0
C 0 0 1 1 1 1 26 0 0 0 0
C 0 0 0 1 1 1 27 1 1 0 0
C 0 0 0 1 1 1 27 0 0 0 0
C 0 0 1 1 1 1 27 0 0 0 0
C 0 0 0 1 1 1 28 1 1 0 0
C 0 0 0 1 1 1 28 0 0 0 0
C 0 0 1 1 1 1 28 0 0 0 0
C 0 0 0 1 1 1 29 1 1 0 0
C 0 0 0 1 1 1 29 0 0 0 0
C 0 0 1 1 1 1 29 0 0 0 0
C 0 0 0 1 1 1 30 1 1 0 0
C 0 0 0 1 1 1 30 0 0 0 0
C 0 0 1 1 1 1 30 0 0 0 0
C 0 0 0 1 1 1 31 1 1 0 0
C 0 0 0 1 1 1 31 0 0 0 0
C 0 0 1 1 1 1 31 0 0 0 0
C 0 0 0 1 1 1 32 1 1 0 0
C 0 0 0 1 1 1 32 0 0 0 0
C 0 0 1 1 1 1 32 0 0 0 0
C 0 0 0 1 1 1 33 1 1 0 0
C 0 0 0 1 1 1 33 0 0 0 0
C 0 0 1 1 1 1 33 0 0 0 0
C 0 0 0 1 1 1 34 1 1 0 0
C 0 0 0 1 1 1 34 0 0 0 0
C 0 0 1 1 1 1 34 0 0 0 0
C 0 0 0 1 1 1 35 1 1 0 0
C 0 0 0 1 1 1 35 0 0 0 0
C 0 0 1 1 1 1 35 0 0 0 0
C 0 0 0 1 1 1 36 1 1 0 0
C 0 0 0 1 1 1 36 0 0 0 0
C 0 0 1 1 1 1 36 0 0 0 0
C 0 0 0 1 1 1 37 1 1 0 0
C 0 0 0 1 1 1 37 0 0 0 0
C 0 0 1 1 1 1 37 0 0 0 0
C 0 0 0 1 1 1 38 1 1 0 0
C 0 0 0 1 1 1 38 0 0 0 0
C 0 0 1 1 1 1 38 0 0 0 0
C 0 0 0 1 1 1 39 1 1 0 0
C 0 0 0 1 1 1 39 0 0 0 0
C 0 0 1 1 1 1 39 0 0 0 0
C 0 0 0 1 1 1 40 1 1 0 0
C 0 0 0 1 1 1 40 0 0 0 0
C 0 0 1 1 1 1 40 0 0 0 0
C 0 0 0 1 1 1 41 1 1 0 0
C 0 0 0 1 1 1 41 0 0 0 0
C 0 0 1 1 1 1 41 0 0 0 0
C 0 0 0 1 1 1 42 1 1 0 0
C 0 0 0 1 1 1 42 0 0 0 0
C 0 0 1 1 1 1 42 0 0 0 0
C 0 0 0 1 1 1 43 1 1 0 0
C 0 0 0 1 1 1 43 0 0 0 0
C 0 0 1 1 1 1 43 0 0 0 0
C 0 0 0 1 1 1 44 1 1 0 0
C 0 0 0 1 1 1 44 0 0 0 0
C 0 0 1 1 1 1 44 0 0 0 0
C 0 0 0 1 1 1 45 1 1 0 0
C 0 0 0 1 1 1 45 0 0 0 0
C 0 0 1 1 1 1 45 0 0 0 0
C 0 0 0 1 1 1 46 1 1 0 0
C 0 0 0 1 1 1 46 0 0 0 0
C 0 0 1 1 1 1 46 0 0 0 0
C 0 0 0 1 1 1 47 1 1 0 0
C 0 0 0 1 1 1 47 0 0 0 0
C 0 0 1 1 1 1 47 0 0 0 0
C 0 0 0 1 1 1 48 1 1 0 0
C 0 0 0 1 1 1 48 0 0 0 0
C 0 0 1 1 1 1 48 0 0 0 0
C 0 0 0 1 1 1 49 1 1 0 0
C 0 0 0 1 1 1 49 0 0 0 0
C 0 0 1 1 1 1 49 0 0 0 0
C 0 0 0 1 1 1 50 1 1 0 0
C 0 0 0 1 1 1 50 0 0 0 0
C 0 0 1 1 1 1 50 0 0 0 0
C 0 0 0 1 1 1 51 1 1 0 0
C 0 0 0 1 1 1 51 0 0 0 0
C 0 0 1 1 1 1 51 0 0 0 0
C 0 0 0 1 1 1 52 1 1 0 0
C 0 0 0 1 1 1 52 0 0 0 0
C 0 0 1 1 1 1 52 0 0 0 0
C 0 0 0 1 1 1 53 1 1 0 0
C 0 0 0 1 1 1 53 0 0 0 0
C 0 0 1 1 1 1 53 0 0 0 0
C 0 0 0 1 1 1 54 1 1 0 0
C 0 0 0 1 1 1 54 0 0 0 0
C 0 0 1 1 1 1 54 0 0 0 0
C 0 0 0 1 1 1 55 1 1 0 0
C 0 0 0 1 1 1 55 0 0 0 0
C 0 0 1 1 1 1 55 0 0 0 0
C 0 0 0 1 1 1 56 1 1 0 0
C 0 0 0 1 1 1 56 0 0 0 0
C 0 0 1 1 1 1 56 0 0 0 0
C 0 0 0 1 1 1 57 1 1 0 0
C 0 0 0 1 1 1 57 0 0 0 0
C 0 0 1 1 1 1 57 0 0 0 0
C 0 0 0 1 1 1 58 1 1 0 0
C 0 0 0 1 1 1 58 0 0 0 0
C 0 0 1 1 1 1 58 0 0 0 0
C 0 0 0 1 1 1 59 1 1 0 0
C 0 0 0 1 1 1 59 0 0 0 0
C 0 0 1 1 1 1 59 0 0 0 0
C 0 0 0 1 1 1 60 1 1 0 0
C 0 0 0 1 1 1 60 0 0 0 0
C 0 0 1 1 1 1 60 0 0 0 0
C 0 0 0 1 1 1 61 1 1 0 0
C 0 0 0 1 1 1 61 0 0 0 0
C 0 0 1 1 1 1 61 0 0 0 0
C 0 0 0 1 1 1 62 1 1 0 0
C 0 0 0 1 1 1 62 0 0 0 0
C 0 0 1 1 1 1 62 0 0 0 0
C 0 0 0 1 1 1 63 1 1 1 0
C 0 0 0 1 1 1 63 0 0 0 0
C 0 0 1 1 1 1 63 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n1_full_rate
H 1 0 6
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 1 1 1 1 0 1 1 1 0
C 0 0 1 1 1 1 0 1 1 1 0
C 0 0 0 1 1 1 0 1 1 1 0
C 0 0 0 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n2_full_rate
H 2 0 9
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 1 1 1 1 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 1 0 0 0 0
---
# n3_full_rate
H 3 0 12
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 2 1 1 1 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 2 0 0 0 0
---
# n4_full_rate
H 4 0 15
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 1 1 1 1 3 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 1 1 1 1 3 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 0 1 1 1 3 1 1 1 0
C 0 0 0 1 1 1 3 0 0 0 0
C 0 0 0 1 1 1 3 0 0 0 0
---
# n8_full_rate
H 8 0 27
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 1 1 1 1 3 1 1 0 0
C 0 0 1 1 1 1 4 1 1 0 0
C 0 0 1 1 1 1 5 1 1 0 0
C 0 0 1 1 1 1 6 1 1 0 0
C 0 0 1 1 1 1 7 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 1 1 1 1 3 1 1 0 0
C 0 0 1 1 1 1 4 1 1 0 0
C 0 0 1 1 1 1 5 1 1 0 0
C 0 0 1 1 1 1 6 1 1 0 0
C 0 0 1 1 1 1 7 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 1 1 1 1 3 1 1 0 0
C 0 0 1 1 1 1 4 1 1 0 0
C 0 0 1 1 1 1 5 1 1 0 0
C 0 0 1 1 1 1 6 1 1 0 0
C 0 0 0 1 1 1 7 1 1 1 0
C 0 0 0 1 1 1 7 0 0 0 0
C 0 0 0 1 1 1 7 0 0 0 0
---
# n64_full_rate
H 64 0 195
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 1 1 1 1 3 1 1 0 0
C 0 0 1 1 1 1 4 1 1 0 0
C 0 0 1 1 1 1 5 1 1 0 0
C 0 0 1 1 1 1 6 1 1 0 0
C 0 0 1 1 1 1 7 1 1 0 0
C 0 0 1 1 1 1 8 1 1 0 0
C 0 0 1 1 1 1 9 1 1 0 0
C 0 0 1 1 1 1 10 1 1 0 0
C 0 0 1 1 1 1 11 1 1 0 0
C 0 0 1 1 1 1 12 1 1 0 0
C 0 0 1 1 1 1 13 1 1 0 0
C 0 0 1 1 1 1 14 1 1 0 0
C 0 0 1 1 1 1 15 1 1 0 0
C 0 0 1 1 1 1 16 1 1 0 0
C 0 0 1 1 1 1 17 1 1 0 0
C 0 0 1 1 1 1 18 1 1 0 0
C 0 0 1 1 1 1 19 1 1 0 0
C 0 0 1 1 1 1 20 1 1 0 0
C 0 0 1 1 1 1 21 1 1 0 0
C 0 0 1 1 1 1 22 1 1 0 0
C 0 0 1 1 1 1 23 1 1 0 0
C 0 0 1 1 1 1 24 1 1 0 0
C 0 0 1 1 1 1 25 1 1 0 0
C 0 0 1 1 1 1 26 1 1 0 0
C 0 0 1 1 1 1 27 1 1 0 0
C 0 0 1 1 1 1 28 1 1 0 0
C 0 0 1 1 1 1 29 1 1 0 0
C 0 0 1 1 1 1 30 1 1 0 0
C 0 0 1 1 1 1 31 1 1 0 0
C 0 0 1 1 1 1 32 1 1 0 0
C 0 0 1 1 1 1 33 1 1 0 0
C 0 0 1 1 1 1 34 1 1 0 0
C 0 0 1 1 1 1 35 1 1 0 0
C 0 0 1 1 1 1 36 1 1 0 0
C 0 0 1 1 1 1 37 1 1 0 0
C 0 0 1 1 1 1 38 1 1 0 0
C 0 0 1 1 1 1 39 1 1 0 0
C 0 0 1 1 1 1 40 1 1 0 0
C 0 0 1 1 1 1 41 1 1 0 0
C 0 0 1 1 1 1 42 1 1 0 0
C 0 0 1 1 1 1 43 1 1 0 0
C 0 0 1 1 1 1 44 1 1 0 0
C 0 0 1 1 1 1 45 1 1 0 0
C 0 0 1 1 1 1 46 1 1 0 0
C 0 0 1 1 1 1 47 1 1 0 0
C 0 0 1 1 1 1 48 1 1 0 0
C 0 0 1 1 1 1 49 1 1 0 0
C 0 0 1 1 1 1 50 1 1 0 0
C 0 0 1 1 1 1 51 1 1 0 0
C 0 0 1 1 1 1 52 1 1 0 0
C 0 0 1 1 1 1 53 1 1 0 0
C 0 0 1 1 1 1 54 1 1 0 0
C 0 0 1 1 1 1 55 1 1 0 0
C 0 0 1 1 1 1 56 1 1 0 0
C 0 0 1 1 1 1 57 1 1 0 0
C 0 0 1 1 1 1 58 1 1 0 0
C 0 0 1 1 1 1 59 1 1 0 0
C 0 0 1 1 1 1 60 1 1 0 0
C 0 0 1 1 1 1 61 1 1 0 0
C 0 0 1 1 1 1 62 1 1 0 0
C 0 0 1 1 1 1 63 1 1 1 0
C 0 0 1 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 1 1 1 0 0
C 0 0 1 1 1 1 2 1 1 0 0
C 0 0 1 1 1 1 3 1 1 0 0
C 0 0 1 1 1 1 4 1 1 0 0
C 0 0 1 1 1 1 5 1 1 0 0
C 0 0 1 1 1 1 6 1 1 0 0
C 0 0 1 1 1 1 7 1 1 0 0
C 0 0 1 1 1 1 8 1 1 0 0
C 0 0 1 1 1 1 9 1 1 0 0
C 0 0 1 1 1 1 10 1 1 0 0
C 0 0 1 1 1 1 11 1 1 0 0
C 0 0 1 1 1 1 12 1 1 0 0
C 0 0 1 1 1 1 13 1 1 0 0
C 0 0 1 1 1 1 14 1 1 0 0
C 0 0 1 1 1 1 15 1 1 0 0
C 0 0 1 1 1 1 16 1 1 0 0
C 0 0 1 1 1 1 17 1 1 0 0
C 0 0 1 1 1 1 18 1 1 0 0
C 0 0 1 1 1 1 19 1 1 0 0
C 0 0 1 1 1 1 20 1 1 0 0
C 0 0 1 1 1 1 21 1 1 0 0
C 0 0 1 1 1 1 22 1 1 0 0
C 0 0 1 1 1 1 23 1 1 0 0
C 0 0 1 1 1 1 24 1 1 0 0
C 0 0 1 1 1 1 25 1 1 0 0
C 0 0 1 1 1 1 26 1 1 0 0
C 0 0 1 1 1 1 27 1 1 0 0
C 0 0 1 1 1 1 28 1 1 0 0
C 0 0 1 1 1 1 29 1 1 0 0
C 0 0 1 1 1 1 30 1 1 0 0
C 0 0 1 1 1 1 31 1 1 0 0
C 0 0 1 1 1 1 32 1 1 0 0
C 0 0 1 1 1 1 33 1 1 0 0
C 0 0 1 1 1 1 34 1 1 0 0
C 0 0 1 1 1 1 35 1 1 0 0
C 0 0 1 1 1 1 36 1 1 0 0
C 0 0 1 1 1 1 37 1 1 0 0
C 0 0 1 1 1 1 38 1 1 0 0
C 0 0 1 1 1 1 39 1 1 0 0
C 0 0 1 1 1 1 40 1 1 0 0
C 0 0 1 1 1 1 41 1 1 0 0
C 0 0 1 1 1 1 42 1 1 0 0
C 0 0 1 1 1 1 43 1 1 0 0
C 0 0 1 1 1 1 44 1 1 0 0
C 0 0 1 1 1 1 45 1 1 0 0
C 0 0 1 1 1 1 46 1 1 0 0
C 0 0 1 1 1 1 47 1 1 0 0
C 0 0 1 1 1 1 48 1 1 0 0
