# BCMC Cell edge cases (wrap boundaries, extremal weights)
#
# Generated by validation/gen_vectors.py from validation/reference.py
# Seed: 20260731.  Do not edit by hand.
#
# One evaluation of the BCMC characteristic function per line:
#
#     bit = 1  iff  ((column - offset) mod N) < weight
#
#      N  weight  offset  column  bit
     16       0       1       1    0
     16       0       1       2    0
     16       0       1       0    0
     16       0       1      15    0
     16       1       1       1    1
     16       1       1       2    0
     16       1       1       0    0
     16       1       1      15    0
     16      15       1       1    1
     16      15       1       2    1
     16      15       1       0    0
     16      15       1      15    1
     16      16       1       1    1
     16      16       1       2    1
     16      16       1       0    1
     16      16       1      15    1
     16       0       7       7    0
     16       0       7       8    0
     16       0       7       6    0
     16       0       7       0    0
     16       0       7      15    0
     16       1       7       7    1
     16       1       7       8    0
     16       1       7       6    0
     16       1       7       0    0
     16       1       7      15    0
     16      15       7       7    1
     16      15       7       8    1
     16      15       7       6    0
     16      15       7       0    1
     16      15       7      15    1
     16      16       7       7    1
     16      16       7       8    1
     16      16       7       6    1
     16      16       7       0    1
     16      16       7      15    1
     16       0      15      15    0
     16       0      15       0    0
     16       0      15      14    0
     16       1      15      15    1
     16       1      15       0    0
     16       1      15      14    0
     16      15      15      15    1
     16      15      15       0    1
     16      15      15      14    0
     16      16      15      15    1
     16      16      15       0    1
     16      16      15      14    1
    255       0       0       0    0
    255       0       0       1    0
    255       0       0     254    0
    255       1       0       0    1
    255       1       0       1    0
    255       1       0     254    0
    255     254       0       0    1
    255     254       0       1    1
    255     254       0     254    0
    255     255       0       0    1
    255     255       0       1    1
    255     255       0     254    1
    255       0       1       1    0
    255       0       1       2    0
    255       0       1       0    0
    255       0       1     254    0
    255       1       1       1    1
    255       1       1       2    0
    255       1       1       0    0
    255       1       1     254    0
    255     254       1       1    1
    255     254       1       2    1
    255     254       1       0    0
    255     254       1     254    1
    255     255       1       1    1
    255     255       1       2    1
    255     255       1       0    1
    255     255       1     254    1
    255       0     127     127    0
    255       0     127     128    0
    255       0     127     126    0
    255       0     127       0    0
    255       0     127     254    0
    255       1     127     127    1
    255       1     127     128    0
    255       1     127     126    0
    255       1     127       0    0
    255       1     127     254    0
    255     254     127     127    1
    255     254     127     128    1
    255     254     127     126    0
    255     254     127       0    1
    255     254     127     254    1
    255     255     127     127    1
    255     255     127     128    1
    255     255     127     126    1
    255     255     127       0    1
    255     255     127     254    1
    255       0     254     254    0
    255       0     254       0    0
    255       0     254     253    0
    255       1     254     254    1
    255       1     254       0    0
    255       1     254     253    0
    255     254     254     254    1
    255     254     254       0    1
    255     254     254     253    0
    255     255     254     254    1
    255     255     254       0    1
    255     255     254     253    1
    256       0       0       0    0
    256       0       0       1    0
    256       0       0     255    0
    256       1       0       0    1
    256       1       0       1    0
    256       1       0     255    0
    256     255       0       0    1
    256     255       0       1    1
    256     255       0     255    0
    256     256       0       0    1
    256     256       0       1    1
    256     256       0     255    1
    256       0       1       1    0
    256       0       1       2    0
    256       0       1       0    0
    256       0       1     255    0
    256       1       1       1    1
    256       1       1       2    0
    256       1       1       0    0
    256       1       1     255    0
    256     255       1       1    1
    256     255       1       2    1
    256     255       1       0    0
    256     255       1     255    1
    256     256       1       1    1
    256     256       1       2    1
    256     256       1       0    1
    256     256       1     255    1
    256       0     127     127    0
    256       0     127     128    0
    256       0     127     126    0
    256       0     127       0    0
    256       0     127     255    0
    256       1     127     127    1
    256       1     127     128    0
    256       1     127     126    0
    256       1     127       0    0
    256       1     127     255    0
    256     255     127     127    1
    256     255     127     128    1
    256     255     127     126    0
    256     255     127       0    1
    256     255     127     255    1
    256     256     127     127    1
    256     256     127     128    1
    256     256     127     126    1
    256     256     127       0    1
    256     256     127     255    1
    256       0     255     255    0
    256       0     255       0    0
    256       0     255     254    0
    256       1     255     255    1
    256       1     255       0    0
    256       1     255     254    0
    256     255     255     255    1
    256     255     255       0    1
    256     255     255     254    0
    256     256     255     255    1
    256     256     255       0    1
    256     256     255     254    1
   4096       0       0       0    0
   4096       0       0       1    0
   4096       0       0    4095    0
   4096       1       0       0    1
   4096       1       0       1    0
   4096       1       0    4095    0
   4096    4095       0       0    1
   4096    4095       0       1    1
   4096    4095       0    4095    0
   4096    4096       0       0    1
   4096    4096       0       1    1
   4096    4096       0    4095    1
   4096       0       1       1    0
   4096       0       1       2    0
   4096       0       1       0    0
   4096       0       1    4095    0
   4096       1       1       1    1
   4096       1       1       2    0
   4096       1       1       0    0
   4096       1       1    4095    0
   4096    4095       1       1    1
   4096    4095       1       2    1
   4096    4095       1       0    0
   4096    4095       1    4095    1
   4096    4096       1       1    1
   4096    4096       1       2    1
   4096    4096       1       0    1
   4096    4096       1    4095    1
   4096       0    2047    2047    0
   4096       0    2047    2048    0
   4096       0    2047    2046    0
   4096       0    2047       0    0
   4096       0    2047    4095    0
   4096       1    2047    2047    1
   4096       1    2047    2048    0
   4096       1    2047    2046    0
   4096       1    2047       0    0
   4096       1    2047    4095    0
   4096    4095    2047    2047    1
   4096    4095    2047    2048    1
   4096    4095    2047    2046    0
   4096    4095    2047       0    1
   4096    4095    2047    4095    1
   4096    4096    2047    2047    1
   4096    4096    2047    2048    1
   4096    4096    2047    2046    1
   4096    4096    2047       0    1
   4096    4096    2047    4095    1
   4096       0    4095    4095    0
   4096       0    4095       0    0
   4096       0    4095    4094    0
   4096       1    4095    4095    1
   4096       1    4095       0    0
   4096       1    4095    4094    0
   4096    4095    4095    4095    1
   4096    4095    4095       0    1
   4096    4095    4095    4094    0
   4096    4096    4095    4095    1
   4096    4096    4095       0    1
   4096    4096    4095    4094    1
  65535       0       0       0    0
  65535       0       0       1    0
  65535       0       0   65534    0
  65535       1       0       0    1
  65535       1       0       1    0
  65535       1       0   65534    0
  65535   65534       0       0    1
  65535   65534       0       1    1
  65535   65534       0   65534    0
  65535   65535       0       0    1
  65535   65535       0       1    1
  65535   65535       0   65534    1
  65535       0       1       1    0
  65535       0       1       2    0
  65535       0       1       0    0
  65535       0       1   65534    0
  65535       1       1       1    1
  65535       1       1       2    0
  65535       1       1       0    0
  65535       1       1   65534    0
  65535   65534       1       1    1
  65535   65534       1       2    1
  65535   65534       1       0    0
  65535   65534       1   65534    1
  65535   65535       1       1    1
  65535   65535       1       2    1
  65535   65535       1       0    1
  65535   65535       1   65534    1
  65535       0   32767   32767    0
  65535       0   32767   32768    0
  65535       0   32767   32766    0
  65535       0   32767       0    0
  65535       0   32767   65534    0
  65535       1   32767   32767    1
  65535       1   32767   32768    0
  65535       1   32767   32766    0
  65535       1   32767       0    0
  65535       1   32767   65534    0
  65535   65534   32767   32767    1
  65535   65534   32767   32768    1
  65535   65534   32767   32766    0
  65535   65534   32767       0    1
  65535   65534   32767   65534    1
  65535   65535   32767   32767    1
  65535   65535   32767   32768    1
  65535   65535   32767   32766    1
  65535   65535   32767       0    1
  65535   65535   32767   65534    1
  65535       0   65534   65534    0
  65535       0   65534       0    0
  65535       0   65534   65533    0
  65535       1   65534   65534    1
  65535       1   65534       0    0
  65535       1   65534   65533    0
  65535   65534   65534   65534    1
  65535   65534   65534       0    1
  65535   65534   65534   65533    0
  65535   65535   65534   65534    1
  65535   65535   65534       0    1
  65535   65535   65534   65533    1
