# BCMC Cell random cases (N up to 65,535)
#
# Generated by validation/gen_vectors.py from validation/reference.py
# Seed: 20260731.  Do not edit by hand.
#
# One evaluation of the BCMC characteristic function per line:
#
#     bit = 1  iff  ((column - offset) mod N) < weight
#
#      N  weight  offset  column  bit
  15113   15113   13239    2079    1
  50538       0   14220   25443    0
  23131    7621    2113   12812    0
   6112       0    2936    4578    0
  40340   40340   38125    2745    1
  15401    2820    5420   14934    0
  32078   32078   15402   17740    1
  31881   13471   11548   22901    1
  12598    3452     311   10059    0
  44149   14578    5754   20566    0
  12477   12476   11941    9845    1
  30293    6229   11689   16560    1
  36996     877   12403    3764    0
  60342       0   38055   43141    0
  16253       0   16192    7294    0
  41820     777   34942   27800    0
   6831    6830     188    4714    1
  15707   15706    3762   12044    1
  22947   22946   18095   13157    1
  13363    9809    1394    4026    1
  37527   23868    3562     890    0
  43759   43025   22672   31944    1
  56954   21333   52387   49320    0
  18119   18119    2415    5346    1
  21534       0   18246    8022    0
  51059    5044   43981    2966    0
  24647   11481   10249   23012    0
  35238   35238    5272   23771    1
  33150     109    3993   19572    0
   1648    1236      86     876    1
  45420   45420    7363   45052    1
  15558   10684   11661    6313    1
   5933    1599     614    4841    0
  52062   52061   16978   25561    1
  64302    8982   38682   50818    0
  35549    1998   17070    6429    0
   2525       0    1315    1215    0
  52863       0    5681    3758    0
   1513    1513     314     791    1
  64680    3122   22711   42279    0
  51411   15939    7849   24574    0
  28577   13232   28416   24871    0
  47318   41666   32652   45643    1
  36031   12685     991   11746    1
  45850   33273   27432   15844    0
  46824   12927   44311   31262    0
  50531   35529   25355    4012    1
  61358   26669   34706   27798    0
   8874       0    3809    8586    0
   5138     300    1059     260    0
  51481   38368    6546   13914    1
  55240   55239   26653   55103    1
  52216   52216   50859   19840    1
   9818    8638     966    7531    1
  25046   13920   13302   11886    0
  47935   14315   16092    1604    0
   7998    7998    5912    5551    1
  27693       0   24976   13927    0
  23423       0   14822   20775    0
  12844   12844    6368    9823    1
  35379   35379   23368   28113    1
  33895   33894   21817   16706    1
   3732     655    2247    1873    0
  35703    9237    2974    7848    1
  16935   10645    9310   11769    1
  44514    7238   33746   27028    0
  64493       0   21418    2784    0
  26289     127   21268   10408    0
   6517    6517    4673    6269    1
  38815   25615    3911    2629    0
  50903   43205   13476   12981    0
  36694   19275    5959   36652    0
  60380   60380   42576   55692    1
  32261   18241    1949    7873    1
  11795    1580   11270   10052    0
  62978   62978   43805   21655    1
  18651    9222   15714   14316    0
  47755   34032      82    1508    1
  47581   47501    3270   18875    1
   3755    1378      62    3676    0
  63005       0   47247   12637    0
  35630    7706   23523   19553    0
  31068   10298    7297   24601    0
   3051    2441    1925    1096    1
   4180       0    2885     172    0
  17620    9390   14099    8739    0
  65055   47402   40027   36612    0
  58172   58172   21482   44786    1
  61705   50499   58990   39138    1
  26967    7065   22073     598    1
  42352       0   40952   21156    0
  26187   11325    6123   24429    0
  27904   20532   27381    8281    1
  23718   23718   14715    9184    1
  16799   16799    9110   13285    1
  19320   12137    6941    3949    0
  24359   11193   19008   15842    0
  18463   18462     272    8295    1
  36463    4887    3317   32949    0
  32511    8027   25918   17183    0
  45515   23363   12786   32453    1
  23586   14958   12081   22900    1
  32483    8173    3610   19760    0
  56888   56888    3485   10857    1
  39066   15418   35246   20272    0
  41319    6068   23287   22966    0
  45007   13792    5656   40193    0
  16566       0   11112   11470    0
   8901    8901    1820    6665    1
  29047       0    5194   15450    0
   9793    9792    4868    8105    1
   3062     970    2258    3002    1
  49643    6856    1037   23969    0
  41013       0   15258   30561    0
  17802    6767    4798     768    0
  31860   28159    2091   26804    1
   4184     334    2176    4019    0
   5750    2702    3810    1629    0
  50405       0   49480   31695    0
  41732   29574   14444   23912    1
  30764       0   11429    8343    0
  43453       0   24873    4038    0
  33062   13753    4508    6869    1
  56903   56903   29899   49946    1
  15901   15901    1411    3354    1
  34737   22055    7347   15714    1
  15467   15467   13549   15044    1
  39918       0   32431   21231    0
  57575   52063   48407   10906    1
  20082    6907   16871    1559    1
   9989       0    1814    9579    0
  62815       0   57489   51282    0
   3328    2141    3173    1394    1
  65312   11399   50909    9234    0
  30949   17221   23862   18120    0
  18266   16005    5205     198    1
  17552    7999   11220    5699    0
   3695    2306    1793    2168    1
  23923    1006   13784    7151    0
  10647    4180    6154    8860    1
  32856   32856   30835   30396    1
  52235       0   27761    5125    0
  33199       0   25530   26807    0
  36738       0    7058   31383    0
   9300       0    5010    2728    0
  13480      20    9658    1790    0
  58308   45183   55202   36334    1
  23883    8650   13233   11388    0
  64107       0   17987   23770    0
  49397   12828    2122    7495    1
  39876   39875    7636   28564    1
  49974   32239    6212   34209    1
   1850     323     588     879    1
  53384       0    8837   26071    0
  13255       0   11454   12248    0
  61033   61033     601    6345    1
  40374   36830    9983   30694    1
  44971   31811   36008    9641    1
  27823   18497   22290    9977    1
  34051   29885    7443   31613    1
  35941   27547   13016   12840    0
  58500   58500   27117   16024    1
   8188    3070    1532    3166    1
  46215    5628   42248   10667    0
   3572    1506    3162    3002    0
  63664   63663   16715   61308    1
  32666   14460    1108   10848    1
  55810   55810   12223   39460    1
  28577   28577     820    9706    1
  61099       0    6094   30250    0
  59054    5971   41191   28786    0
   1089     718     619     619    1
  39334    4496    3137   15374    0
   1941     654     397     298    0
   5914    2325    5365     616    1
  47265       0   28886   43185    0
  28598   14120   15949    6279    0
  36372      62   10935   32089    0
  19786   19786    6026    7301    1
  16579   16579   13570      92    1
  30719   24550   15581   17586    1
  25981    7241    5878   13834    0
  57259   38400   35857   36376    1
  13811       0   12950   10330    0
  32594   29236    6636    7164    1
  42415   18871    1584   42307    0
  48684       0   13097   11409    0
  29938   17513   18997   29263    1
  18172    6099   12736   14472    1
  33634   27913   10650    6926    0
  35938    1871   12750   20392    0
  11467       0    3017    6819    0
  16952       0    5488   14401    0
  36418    9741     350   28344    0
   5424    2583    3804    5261    1
  52229    8296    9465   45574    0
  18035    8331    6816   14759    1
  61130   55968   59905   43510    1
  21219   16950     597   20069    0
  42726       0   20649   29205    0
  42325   28174    4787   12493    1
  65016   55026   43706   11358    1
  38173   12244   36236   37352    1
   3623    2515    2178    1349    0
  38595   38594   28417   18936    1
  57766   49953   23242   29973    1
   8788     102    4345    3383    0
  54436   54435   25323   47259    1
  36597    2672     216   21306    0
  43267       0   24322     180    0
   6799    5418    4737    1173    1
  48112   48112   11859   41005    1
  45437    9258   44640    8297    1
  48553   48552   24524   22606    1
  63920   50376    6390   41271    1
  63215    6709    2397   11253    0
  12780    1149    6875    4212    0
   2050    1421     627    1210    1
  19207   19206    6401   16396    1
  23248   23248   16301   22307    1
  22359    6261   21151    2528    1
  21699   14287    9721    4380    0
   3775    3774    2569    1222    1
  41660   41660   32747   33697    1
  22329   14915   13634    3900    1
  64937   11437   33643    7197    0
  40536   40536   21386    7891    1
  49412   26164   18243   18682    1
  21982   21982   19843    8435    1
  22634    1106   21958    7946    0
  40235   11644   30662   38139    1
  37993   18253   35371   30681    0
  44345   30570   26714   14381    0
  53201       0   19420   48660    0
  52280   52280   23201   33402    1
  20195   15096   11754      67    1
  55477   55477   12140   24457    1
  19631   15164   13182   19624    1
  23317    9257    6914   12605    1
   4670       0     130    3506    0
  40550   16915   38677   33608    0
  25723    2672   19555    9477    0
  34499       0    1212    1242    0
  62357   62356    9131   43024    1
  21470       0   15761   15267    0
  43450       0   40567   31969    0
  40650   35326   38763   13872    1
  61517   61516   19498    2008    1
  27649   27648    6582   16300    1
  35771   28934    7981    5221    0
  16185   16184   11247    9487    1
  45481   45481   41809   19921    1
  52725    2400   25287    1918    0
  14043   10055    6499   10934    1
  18465    8739   11505   16521    1
  42215   35101   28271   38113    1
  65336    5105   24684   19438    0
  13264       0    9728    1131    0
  33617   33617   26449   26799    1
  23606    2047   14623   17600    0
  27617   27617   18857     409    1
  15061   15061    1986     666    1
   8886    8885    7930    7920    1
  56863   36353   45761   38570    0
  64058   45654   10391   34933    1
  29043   20755    5413   24479    1
  54874   46125   19949   45220    1
  40158    1547    6872    6852    0
   5694    5338    4746     984    1
  28088   28088   24155   21719    1
  26654   25348    3785    6604    1
  11708    3189    8704    5855    0
  23888   11862   12679    2414    0
  17134   10655   14916     822    1
  37372    8458    1823   28343    0
  45968   41133   29419    1841    1
  11216    3928    9420   10326    1
  32234   32162   24270   23857    1
  32860   29789   31768   29828    0
  19330    9174   15672   17418    1
  30914       0   28220   20045    0
  62599     805   53914   48730    0
  49475       0   35942    1623    0
  15782       0    5759   15759    0
    537     273     324     436    1
   2226       0    1941    1833    0
  41145   25357   16382   39680    1
  21024       0    4314    8530    0
  56064       0    2396   15625    0
  57644    7630   30162   49461    0
  61342       0   28291    5637    0
  10070   10070    5548    1249    1
   3802    3802     940    3358    1
  56177    7924   13601   19437    1
  54737    7360    4613   34823    0
  14724    9407    3173    3581    1
  18718    1628   16309    7925    0
   6551       0     447    1605    0
  44540    3496   25796    4185    0
  48806    8917    1258   16793    0
  33612   33612   23424    5386    1
  40435   38769   22412   11647    1
  27762   27761   26540    4838    1
  25767   17471   16984    1185    1
  59421   25977   21174   29413    1
  24790   18658   24201    6532    1
  11617   11617    4032    1665    1
  21627       0    6890   13345    0
  33065    3678   22664   31671    0
   7470    7470    3242    2837    1
  58327   39629   54224   12372    1
   9838    3524    8465    4609    0
  22652   22651   11206   16100    1
   8746    8745    7416    2091    1
  46059   14815   24040   22055    0
  57274    3829   53006   33863    0
  36153   34675   17923   32913    1
  53900       0   33564   34506    0
  27223    6130   14091   13891    0
   7788    7787    5408    5153    1
  41868   41868   41324   39836    1
  26301   26301   12862    9144    1
  42313   11677    7668    4125    0
  23307   18032   15969   10530    1
  13012   13011    2499    7395    1
   8100    3773    4986    3123    0
  23600    2528   20067    1968    0
  63918   63917   58782   30523    1
  61937   43995   16184   57752    1
  56880   56879   50461   17730    1
  36758   34353   15726   19457    1
  30005   28127   25971   17810    1
   7851       0    6183    1226    0
  59362   20627   12529   20289    1
  64856   64855   45553   56145    1
   8240    3107     708    4601    0
  22104       0    6853   14661    0
  34907   33275    1363   15829    1
  25196   13694    6404   18514    1
   1227       0     336     154    0
   8295     893    3644    6031    0
  10635    4867    8307    1463    1
  54483   39832   19264   46352    1
   9834       0    3318    6649    0
  32209   24913   17701    2582    1
   9915    9914    6169    5647    1
   3039     382    2310    2931    0
  31157    8412   18357   29101    0
  62044   52254   18076   26616    1
  31344   21070   24892    5412    1
  48433    6591   15784    5618    0
  36201   36201   32276   12821    1
  38276   23617   27171   13234    0
  18308    3089    5640    6030    1
  63301   47716   49282    1342    1
   2387    2387     917    1736    1
  20976   20976    4604   17861    1
  26344   16237   24802   19527    0
  37128   37127    4562    4241    1
  31482    7581   20201   27352    1
  16579    2030    3977    5041    1
  51854    7231   40061   38974    0
  32405   32046   26709    3799    1
   2388       0     551     588    0
  36087   36087   13165    9851    1
  61862   22939   55407   16363    1
   6373    6107    6163    3147    1
  30682   14845     216   17822    0
  56199   43361   30207   19300    0
  21442   14945   11606   17507    1
   4325    1561     678     596    0
  62225   62225   53597   59584    1
  31241   31240   11011   13586    1
   5094    5093    3225    3177    1
  55386    9233   38736   23514    0
  27663   10355   21102    2449    1
  40848   40847   24181   40800    1
  13363       0    6043   10500    0
  27018    7648   24647   17661    0
  22063   22062    4769   16682    1
  22060   13609    2315   21098    0
  20890   20889   16836   19772    1
  58111   11976    2214   26548    0
  29589   14678   23091   25736    1
   4334    1258    3464     696    0
  54186   54135   19160   33485    1
   3809    1443     735    2294    0
  51674   51673   44018   28616    1
  51761       0   32142   43255    0
  18332    6323   13390   14607    1
  62905   32699   35945   54379    1
  11375    9075    6054    1820    1
  31941   22256   19683    9125    1
  32846   15441   14653   29126    1
  62307   33565   27341   14998    0
  50880   50880   10191   46165    1
  31442       0   10409   22487    0
   6831       0    4679    5320    0
   3841    3253    2909    1289    1
  56783   27493    3827   29236    1
  40685   37041   20946   34121    1
   8991    5296    5511    6888    1
  12610   12609   12487    1319    1
  44154    9069    9274   22021    0
  26828   11594    5096   25261    0
   4521    1416    2970    2959    0
  52544   52544   26419    4918    1
  10530    7940    2458   10291    1
  22872       0   22241     429    0
  53779   12552   44193   16400    0
  14177   14176   12010   10915    1
  25514   16590   11067    9792    0
  63707   46137   19845    8206    0
  25667   25667   21614   10479    1
  43583   18205   41593   12140    1
  50821   16476   34930   42066    1
  15494       0   12816    6586    0
  17283   12442    3523   13786    1
  46021    1046   45163   30967    0
  40086   26333    5903   19214    1
  24978   15730    3224   22941    0
  47143   43652   35595   15488    1
  37106   25000   29343   30186    1
  49725   25060   42982    5413    1
  28206   28206    6676    8880    1
  43513       0   16732   14381    0
  32139   10092   18486    4534    0
  19464    6065    7972    6246    0
  34474    3759   18623   34413    0
  24838   16784    3509    1138    0
  29417   22898   23015   21979    0
  33044   28967   17805    2979    1
  24357   14562   15170    8987    0
  62068   17339   51891   32201    0
   6710    6710     528     407    1
  12595       0   12504    4091    0
  16032       0   15392   15995    0
  40544       0   37720   10078    0
  41417   23659    3770   21766    1
  36503   28268   24183   29131    1
  23273   13943   10103   21845    1
  20116   20115   11042   10614    1
  37664   24436   27648   25796    0
  41458   41458    9580   23596    1
   5973       0     619    1376    0
  15248   15247   12603   14556    1
  49942   31549   16529   20319    1
  65284   54864   29412   26405    0
  29199   29199   24560   21762    1
  37308       0   31129   33658    0
  43991   14028   32423     374    1
  44816       0   28970   36988    0
    376      39     314     123    0
  54469   48466   31023   12463    1
  53303   45825   18463   31352    1
  49222   23179   26852   18523    0
  61413   57552   10691   36607    1
  20461   20460    4020    1603    1
  37913   34850   31412   10017    1
  56713   56712    6116    6049    1
  55874   55873   26436   44132    1
  38615   23332   13006   25364    1
   1185    1104     562      98    1
   5995     635    5164    2204    0
  52152      61   46128   26772    0
  24961    4141   16114    2329    0
  22300    8800    9256    8990    0
  38095   38095   29544   13782    1
  25789    3754   22673   20514    0
  45978       0   34325   29271    0
  14904   14904   14789   12693    1
  60929       0   54907   49207    0
  23381    3297    2020    4319    1
  50447       0   42572   46306    0
  29334    6607   26330   12334    0
  50258       0   22820   16843    0
  30866   26889    3542   18754    1
  26290     672   24798   22568    0
  48670    7188    3438   30589    0
  22867   11238    9567    6868    0
  23027   23026   13653   21171    1
  30195       0    7511   19946    0
  27767   22782   20771    7627    1
  63734   37215   54474   44794    0
  51622    7651   30509   34563    1
  47023   29251   40333     314    1
  53961   41563   38091   33815    0
  37704    8084   19559   22336    1
  40078   34994   15517   17032    1
  35784       0    1893   10637    0
  54392    3646   43246    6426    0
  54428   54428   51788   20368    1
  36697    5438   22816   21892    0
  53065   53065   49727   12335    1
   5895    5328      59    1050    1
  21611   16413     145    4322    1
  17680    3396   12667    6105    0
  45225   45225   16732   36566    1
  53188   21768   42895    6822    1
  16336   16335    9777     305    1
  64261       0   12937   16750    0
  15510       0   10241    9519    0
  28206    7695   19439   15476    0
  33089   17944   21013   20828    0
  48199   38077   39862   28058    1
  61307   20883    9088    9097    1
  11603   11603    8013    6015    1
  19344     695   13372    9942    0
  19012   11838    3464   17155    0
  60976   59911   53004    8321    1
  47329   47329    2971   35606    1
   1787    1325     861    1699    1
  12235    4349    7416    8233    1
     14       8       1       4    1
  43839   17925   41217   26368    0
  53028   31637    2945   43421    0
  55693   19812   38023   37258    0
  25782       0   22536    2244    0
  58926   58926   11999   53753    1
  56911   32128   32226    9969    0
  18561   18561   18037     677    1
   7669    6490     394    1255    1
  50937   10142   49641   50543    1
    426     144      27     309    0
  44911    8600    5008   22544    0
   3764    3764    3084    2232    1
  47921   47920   34647   26778    1
  29178   12839    6502    8544    1
  47556   47555   43961   14949    1
  17360   13002    3456   12011    1
  41184   18031   37149   33395    0
  35307    1635   16079   22072    0
  42776   16158   37282   18054    0
  33751   13718   16465   17514    1
  41044       0   31016    6862    0
  63312       0   55461   11894    0
   7034    4890    1999    2078    1
  33293   14059    5216   29436    0
  15194   11751     758   11640    1
  38351       0   25099   23667    0
  24193    1656   10956   21154    0
  31466   13662      67   17780    0
  44614   35418   42098   42546    1
  31526   31526   30177   12254    1
  19799   17315   12304   10838    0
  63216   44189   33972    2485    1
   9671    9251    1804    9362    1
  37148   35619    9450     851    1
  63213   54182   49691    9590    1
  31766   13632    3820   19069    0
  63796   63796   27022   56968    1
  39498    1974   28597   27498    0
  62280   15026   20716   34902    1
  44023   18056   30531   24829    0
  57148   47987   28712   32115    1
  49446   31274   16455   41826    1
  45988   45987   29610   17840    1
  58239   13297   20505   29093    1
  63460    6730   54394   43183    0
  28266    2684   25799   10805    0
  20664    8274   16730    4921    0
  52121   34967   15713   18490    1
   4412       0     884    2726    0
  61877   61876   36327   11640    1
  43818   14486   42362    2694    1
   1131     829     736      95    1
  64924       0   64057   37149    0
  36491   36490   35867   25147    1
  59691    8481   52744   16607    0
  54702   54702   54196   30515    1
   7857    3149    1433    1290    0
  13047       0    5160    2195    0
  29579     661   26151    1989    0
  61210   20269   12774   12327    0
  35243   14926   10379    5075    0
  19206       0   11047   13345    0
  58692   48605   10112   19130    1
  16645   11047   13690    8099    0
  17115   16857   15286   12383    1
  64785   17266   35478   15622    0
    461     241     370      10    1
  65155   10271   31860   30430    0
   2639     597    2335    1914    0
  17133     942    8641    1321    0
  16030    3848    9008    8810    0
  38896   38896   32738   29853    1
  65349   19349   16171   38148    0
   1141     108    1005     318    0
  19352   19352     701   10727    1
  58017   35785   45048    9689    1
  54840       0   28408   43105    0
  59163   59163   33518   38608    1
  46157    4666   34072    5770    0
  62765   62765   60609   45464    1
  64241   64204   34501    3975    1
   7326    7326    1088    3980    1
  42321     740    6068   16275    0
  50774   24817   35263   39860    1
  10213   10212    6439    8710    1
  16875       0   14230    3699    0
  24960       0     100     614    0
  10094    8691    2302    7752    1
  65195   65195   18740   21774    1
  57438   13155    9870   26456    0
  53400   30412   14228   22506    1
  34391   26301    4098   10301    1
  53083   15148   50876   21285    0
  10740    1464    8954    8414    0
  57088   57087    2318   15346    1
  32273   19141    6390   19695    1
  39514    6710   28970    7231    0
  59415       0   15448    2722    0
   6727    3105    5326    3399    0
  59564       0   30223   50137    0
  40653    4398    8273    9761    1
   9735       0    1184    3139    0
  50858      95   41941   37376    0
  41063       0    9579    1251    0
  54129   36436   40515   18906    1
   3845    3845    2039    3045    1
  24252   18345    6743    3837    0
  10132    8425    2680     309    1
  45646   45645   22801    5916    1
  21420   17562    2251    8188    1
  30238   14936    9213   22137    1
  17123    5380    6711    8517    1
  54004   40460   53988   47034    0
  45557   28053   36428    4464    1
  10425       0    2560    6640    0
  43168       0   18628   32153    0
  19616    2224     475   16940    0
  60321   21716   36332   24351    0
  15016   12833     146    9263    1
  55273       0   51750   47205    0
  21020   21020    1996   12196    1
  43590   15272   34820   39962    1
  61365   48135    6312   46908    1
  31881   25655    7583    6578    0
  24302   12726    9380   10956    1
  37821   37820   18957   36924    1
  55683   17711   43377   27112    0
  59332       0   25838   43461    0
  30991   11112   18472   24094    1
  60847   60846   14708    4823    1
   3195    1931    1459    1757    1
  34922   29405   29285   19905    1
  59077       0   20949    1703    0
  30721       0   13431   11901    0
  33195   33195   29341   32113    1
  26563   26563    3434   17977    1
   3688    3433     948    1229    1
   2027    2027    1677     315    1
  57217   29206    9314   18323    1
  65154       0   19618   19824    0
  12228    2831    5957    9202    0
   4862    4861    3175    2175    1
  30852   20199     172   11963    1
  22604   19232    2419    3665    1
  50504   50503   34202   30747    1
  37884   37884   28477   30923    1
  17168   13761    4616   13774    1
  37637   27523   13408   35417    1
  17856       0    7681   17288    0
  55494    9611   19419   15869    0
  16759    1430     743   15398    0
  34455   30398   31599   16830    1
  40876   10545   31582    8815    0
  51785   33303    9745   17268    1
  65076   65075   25613   39121    1
  40156    5889   25420   33950    0
  24640    6268    2237    7710    1
  20792    4041   16018    7538    0
  64912   64912   36552   33112    1
  61541   61540    4439   24121    1
   8271    1190    2575     327    0
   2188    1750     941     280    1
  28821    4608   22528   20544    0
  52040    8778   50189    6583    1
  35295   23405    4451   12839    1
   6187    6186     256    2346    1
  64118   45135    5070   30246    1
  28872   25528     424   19359    1
  40503   33162   16337   21843    1
  62214       0   10544   23058    0
  18154   18154    4403    8820    1
  20667   20667     344   20344    1
  44212   32695   17050    9016    0
  51260    9100   40248   47005    1
  31784   11265   21691    6917    0
     29      29      20      16    1
  38989       0   15541   22983    0
  21764    1900    1484    2985    1
  43640   24071   20539   28654    1
  58188    7451   41673   48644    1
  53197       0   37770   22134    0
  51328   39820   11253   14724    1
  48295     179   44810   36785    0
  64429   53466   35301   44900    1
  29430    2012    9059   18916    0
  40876       0    9477   35718    0
  42419       0   27285   15405    0
  22790    8661    1609   10706    0
  14160     471    9368    4232    0
   1033     992     497       4    1
  44210       0   32417    8164    0
  24863       0   20731   14285    0
  64116   48995   34075   38345    1
  36521   36521   31562   15508    1
   6720    5381    1284    1197    0
  59442       0   25146   14305    0
   4739     511    4377    1314    0
   4488    2226    3525    1636    0
  55577   28940   28228   15200    0
  53980    2576   32148   15541    0
  46875   42980   22058    7432    1
  63819   63818   43527    5923    1
  60470   60469   39003   42139    1
  64207   64207   21429   54932    1
  17943     593   16789    9763    0
  12166   10170     636    8956    1
  64548   47545   43841   45037    1
  51730   51730   35612   21839    1
   5495       0    5120    2769    0
  48741   26076   41757   30299    0
   6969       0    1429     262    0
  29564    4081   23852   19584    0
  39868   39867   22226   29780    1
   9230    9230    3760    6722    1
   6694    4013    5528    6175    1
  23622    1948   22531    3065    0
  23693   23692    4602    1579    1
  14874       0    4593    9191    0
  46644   11266   26583   10010    0
  36559   15095    4468   35991    0
   1161      23     935     193    0
  39693   11968   22325   15988    0
  50837       0   29690   22184    0
  12119   10059    9839    2699    1
   4961    4961     541    3638    1
  43781   43781   21920   20716    1
  48808    2755   40916   18119    0
  50314   16899   34713    7655    0
  45832    2087   33735     395    0
   3340    1557    1711    1665    0
  54512       0   26115   47787    0
  28382   28381   11843   11916    1
  51316       0   13620    7561    0
  50291   17834   31385    4002    0
  25168   16559   23740    2435    1
  22912   22912   12762   15097    1
  48282   48282   16465   42192    1
  24387   24387   24360   10758    1
   6607    6606    1842    2306    1
  64256   29341   62369   59323    0
  28250   28249   22220   21792    1
  51753   51752   24243   28975    1
  29199   20950   26454   17033    1
  52036   52036   24481   17102    1
  21132    5049   16885    4046    0
  60517   60517   20048   19865    1
  32093   16133   24099   13201    0
  48193   48193    7158   36560    1
   6874    6874    5186    3785    1
  34897       0   19189   13844    0
  27161       0    9468    3211    0
  43011       0   30519   19519    0
  21097   21096    9186   12830    1
  22337   10213    9676    3138    0
  25705   14962     848   24147    0
  47344    8029   35771   46990    0
  53564   15321   14584   45947    0
   8256    2732    3261    6321    0
  32916       0    6104   21266    0
  57483   38554   24412   46030    1
  62526   48799   23637   59545    1
  46613   46266     901   23938    1
   2738       0    1287     702    0
  33224   33223   20685   27272    1
  38699    3090    4423   16218    0
  49099   14080   45372   14655    0
   8218    6753    2635    3945    1
  43033   22179   20718    7738    0
   6825       0      17    2923    0
  58048   58048    3055   28977    1
  38297   38296   18640    4627    1
    355     103     170     241    1
  49506   46387   16902   36665    1
  35593    9672   29551   31779    1
  10619    8856    5963    2090    1
   8758    8758    3228    3565    1
   4763    2886    3834    3415    0
  44648   44647     219    5134    1
  62340   47060   40645   28988    0
  25496       0   23654   23112    0
  49804   47761   24209   36753    1
  24732   24732    8574   23549    1
  23152    7010    9960   11617    1
  23048   23048   17393   13509    1
  46081   46081    9049   15127    1
  41938       0   40686   18929    0
  64469   59552   25080   22077    0
  35329   28700   16570   17011    1
  20993   19055   12300    3453    1
  29290   23079    9299    4402    0
  17756   14656   12941    8770    1
  51466   14489   40806   43181    1
  38327   18732     983    5370    1
  14750   14749    5306     667    1
  20774   17053    4012   17000    1
  43442   43442    4933   15877    1
  63682   63682   24450   50132    1
   3365    3288    2822    2439    1
  18372    8307    1579   13817    0
  31820    9040   22920    9924    0
  58316   58315   33291    5000    1
   9417    9417    8783    9047    1
  38534       0    6602   38032    0
  16342    7133    6742    2152    0
  38656   17306   37685   23036    0
  32944   28456   17537   29264    1
  22097    9607     333   19987    0
  40688   22115   24707    4035    1
  31985   31985    4162   23035    1
    622       0     316     442    0
   3220    1008    1687    2999    0
  62032   62031   55945   34810    1
  22208       0    5399    9621    0
  47361   47360   33626   45925    1
  14462   11804     624    5664    1
   2924    2924    2469     342    1
  46529       0    3682   37353    0
  53538   44790    2821    1636    0
  33563   33562   24764     742    1
  64909   22416   23754   25210    1
  27009   27008    9384   22822    1
  48311   48311    8606   36875    1
  10677    2902    8209    9864    1
  26071   21757    2156    3641    1
  47456   37934   16590     707    1
  29147   19948    7621   11767    1
    323      25      59      23    0
  19183   14659   15589    2802    1
  21741    6461   14780    3414    0
  49806   13342     389   13071    1
   6480    3253    4443    4243    0
  47212   47211     283   26739    1
     42      42      37      14    1
  42534       0   11793   41373    0
  51350   51349   28497   50075    1
  40628    3580   25395    6793    0
  37765       0    8604   33479    0
  21709       0   18675    4372    0
  14083    7436    4676   12295    0
  49952   46800   47318    3357    1
  51776   51775   33751   14190    1
  41619   37710    6255   27996    1
  36240       0   16758   29064    0
  27002   24431   23248   16406    1
   9826    8774    3703    4991    1
  64058   64057   15193   36911    1
  42129   16813   13104   40879    0
  31601    4628   20433   17660    0
  38945    5247   29544   27430    0
